TABLE_NAME,TABLE_COMMENT,TABLE_SCHEMA
hospitalplus_sms_record,短信发送成功记录表,hospitalplus_pro
hospitalplus_special_drug,特殊药品管理,hospitalplus_pro
hospitalplus_special_drug_doctor_map,特殊药品与医生关系,hospitalplus_pro
hospitalplus_special_schedule,医生 - 特殊排班表,hospitalplus_pro
hospitalplus_speechenter_cm,中药语音录入-中药基础信息,hospitalplus_pro
hospitalplus_store_copy1,门店信息，门店基本信息仍然读DSLPOS，此处只保存医疗业务相关字段,hospitalplus_pro
hospitalplus_store,门店信息，门店基本信息仍然读DSLPOS，此处只保存医疗业务相关字段,hospitalplus_pro
hospitalplus_subscribe_template,小程序订阅消息,hospitalplus_pro
hospitalplus_system_count,平台总数据,hospitalplus_pro
hospitalplus_tactic,互联网医院攻略,hospitalplus_pro
hospitalplus_suggestion,意见反馈,hospitalplus_pro
hospitalplus_title_info,v2.0 - 标签管理,hospitalplus_pro
hospitalplus_third_channel,第三方接入问诊渠道,hospitalplus_pro
hospitalplus_system_count_rise,平台总数据 - 增长率,hospitalplus_pro
hospitalplus_user_record,用户邀请纪录,hospitalplus_pro
hospitalplus_use_count_rise,用户使用数据 - 增长率,hospitalplus_pro
hospitalplus_virtual_comment,v2.0 - 虚拟评论表,hospitalplus_pro
hospitalplus_use_count,用户使用数据,hospitalplus_pro
hospitalplus_web_callback,web端推送回调,hospitalplus_pro
hospitalplus_wechat_auto_reply,微信公众号自动回复配置表(关键词回复+接收消息回复+被关注回复),hospitalplus_pro
hospitalplus_wechat_menu,微信工作号菜单,hospitalplus_pro
hospital_auditing_store,处方审核门店信息,hospitalplus_pro
hospital_bk_video,处方记录,hospitalplus_pro
hospital_diagnose,问诊_诊断信息,hospitalplus_pro
hospital_disease_code,疾病分类与编码 - 精简版,hospitalplus_pro
hospital_disease_class_code,疾病分类与编码 - 全量版,hospitalplus_pro
hospital_doctor,医师信息,hospitalplus_pro
hospital_doctor_certificate,医师认证管理,hospitalplus_pro
hospital_doctor_position,医生职务表,hospitalplus_pro
hospital_doctor_custom_divide,医生所有药物特殊分成设置（按药品类别设置分成比例）,hospitalplus_pro
hospital_doctor_custom_divide_drug,医生药物特殊分成设置（按特殊药物设置分成比例）,hospitalplus_pro
hospital_doctor_department,医生科室表,hospitalplus_pro
hospital_doctor_scheduling,医生排班表,hospitalplus_pro
hospital_drug_info,药品表,hospitalplus_pro
hospital_doctor_scheduling_group,医生排班分组表,hospitalplus_pro
hospital_hosipital_info,初诊医疗机构表,hospitalplus_pro
hospital_drug_info_bak,药品表,hospitalplus_pro
hospital_institution,机构信息表,hospitalplus_pro
hospital_institution_business,机构业务开展情况表,hospitalplus_pro
hospital_ma_templatemsg,小程序消息提醒,hospitalplus_pro
hospital_notice,提示记录,hospitalplus_pro
hospital_prescription_draft_bak,处方药品草稿,hospitalplus_pro
hospital_prescription_draft,处方药品草稿,hospitalplus_pro
hospital_prescription_err_record,处方单推向POS错误记录,hospitalplus_pro
hospital_prescription_goodsinfo,处方药品信息,hospitalplus_pro
hospital_proscription_goodsitem,禁止开具处方药品目录,hospitalplus_pro
hospital_region,行政区表,hospitalplus_pro
hospital_tencent_config,文档配置-管理文件,hospitalplus_pro
hospital_service_point,服务点字典表,hospitalplus_pro
log_log_admin,后台管理日志,hospitalplus_pro
hospital_unit_code,关系代码表,hospitalplus_pro
o2o_store,废弃表,hospitalplus_pro
log_log_patient,患者日志,hospitalplus_pro
organization_clerk,,hospitalplus_pro
medicine_db_test,废弃表,hospitalplus_pro
organization_clerk_post,,hospitalplus_pro
organization_department,,hospitalplus_pro
organization_department_clerk,,hospitalplus_pro
organization_department_image,,hospitalplus_pro
organization_post,,hospitalplus_pro
organization_superior,,hospitalplus_pro
organization_usergroup,,hospitalplus_pro
organization_post_role,,hospitalplus_pro
parameter_param,参数表,hospitalplus_pro
organization_usergroup_user,,hospitalplus_pro
ownership_agent_team_tmp,经纪人团队归属-内部BI,hospitalplus_pro
pay_pay_doctor_count,医生佣金统计,hospitalplus_pro
pay_pay_doctor_get,医生收入记录,hospitalplus_pro
pay_pay_record,支付回调,hospitalplus_pro
pay_pay_doctor_out,医生支出记录,hospitalplus_pro
permission_account_role,角色帐号关联,hospitalplus_pro
pay_pay_request,支付请求,hospitalplus_pro
permission_account,账号,hospitalplus_pro
permission_catalog,权限一级菜单,hospitalplus_pro
permission_menu,权限二级菜单,hospitalplus_pro
permission_organization,,hospitalplus_pro
permission_permission,权限点,hospitalplus_pro
permission_resources,资源,hospitalplus_pro
permission_role,角色,hospitalplus_pro
permission_role_permission,角色权限关联,hospitalplus_pro
pirates_admin,,hospitalplus_pro
pirates_fileinfo,,hospitalplus_pro
pirates_autoid,,hospitalplus_pro
pos_store,门店信息,hospitalplus_pro
pirates_unique_code_max_number,统一编码最大数,hospitalplus_pro
pirates_unique_code,统一编码,hospitalplus_pro
rxo2o_callback_record,O2O一体化调用其他系统日志,hospitalplus_pro
pos_store_copy1,门店信息,hospitalplus_pro
rxo2o_city,城市数据（O2O一体化使用）,hospitalplus_pro
rxo2o_consignee,收货人信息,hospitalplus_pro
rxo2o_goods_level_count,大参林经纪人业绩统计,hospitalplus_pro
rxo2o_refund_order_item,售前退款细单,hospitalplus_pro
rxo2o_refund_order,售前退款,hospitalplus_pro
rxo2o_return_order,售后退款单,hospitalplus_pro
rxo2o_return_order_item,售后退款单细单,hospitalplus_pro
rxo2o_return_order_process,记录订单状态,hospitalplus_pro
rxo2o_return_reason,售后理由,hospitalplus_pro
rxo2o_rx_order,处方订单 - 总单,hospitalplus_pro
rxo2o_rx_order_detail,处方订单 -详情,hospitalplus_pro
rx_callback_success_record,回调处方中台3.0成功日志记录,hospitalplus_pro
rx_prescription_order,需求订单号,hospitalplus_pro
rx_prescription_order_item,需求订单号对应商品详情,hospitalplus_pro
weixin_ma_user,小程序用户基本信息表,hospitalplus_pro
tmp_hospital_prescription,归档处方记录中间表,hospitalplus_pro
permission_catalog,,rxaudit_pro
parameter_param,,rxaudit_pro
permission_menu,,rxaudit_pro
permission_account_role,角色帐号关联,rxaudit_pro
organization_department,,rxaudit_pro
organization_post_role,,rxaudit_pro
o2o_store,,rxaudit_pro
organization_clerk,,rxaudit_pro
permission_permission,权限点,rxaudit_pro
permission_organization,,rxaudit_pro
organization_department_image,,rxaudit_pro
organization_usergroup_user,,rxaudit_pro
organization_usergroup,,rxaudit_pro
account_entry_certificate,,rxaudit_pro
permission_account,,rxaudit_pro
organization_clerk_post,,rxaudit_pro
organization_department_clerk,,rxaudit_pro
account_certificate_type,,rxaudit_pro
organization_superior,,rxaudit_pro
organization_post,,rxaudit_pro
permission_role,角色,rxaudit_pro
permission_role_permission,角色帐号关联,rxaudit_pro
pirates_admin,,rxaudit_pro
permission_resources,资源,rxaudit_pro
pirates_fileinfo,,rxaudit_pro
rxaudit_allocate_staff,rxAudit - 调配人,rxaudit_pro
rxaudit_store_auto_bak,rxaudit - 门店信息,rxaudit_pro
pirates_autoid,,rxaudit_pro
rxaudit_audit_pharmacist,rxAudit - 审方药师表,rxaudit_pro
pirates_unique_code_max_number,统一编码最大数,rxaudit_pro
rxaudit_audit_pharmacist_store,rxAudit - 审方药师关联门店表,rxaudit_pro
rxaudit_store_auto,rxaudit - 门店信息,rxaudit_pro
rxaudit_prescription_good,rxaudit - 处方单药品信息,rxaudit_pro
pirates_unique_code,统一编码,rxaudit_pro
rxaudit_admin_region,,rxaudit_pro
rxaudit_leader_agent,,rxaudit_pro
rxaudit_callback_record,rxaudit - 回传日志纪录,rxaudit_pro
rxaudit_audit_doctor,rxAudit - 审方药师-复核人,rxaudit_pro
rxaudit_rx_channel,rxaudit - 处方渠道,rxaudit_pro
prohibited_drugs_dsl,违禁药品目录表,medicine_db
medicine_note_image_dsl,标准药品:药品说明图片表,medicine_db
medicine_prescription_dsl,药品审方表,medicine_db
dosageform_unit_rf,,medicine_db
medicine_image_dsl,标准药品:药品图片表,medicine_db
dosageform_usage_rf,,medicine_db
diagnosis_description_dsl,诊断主诉管理表,medicine_db
medicine_content_dsl,标准药品表-描述表,medicine_db
medicine_dsl,标准药品表-主表,medicine_db
medicine_status_dsl,标准药品表-状态表,medicine_db
drug_core_ingredients_dsl,药物核心成分管理表,medicine_db
medicine_prescription_detail_dsl,药品审方详情(诊断)表,medicine_db
dosageform_saleunit_rf,剂型-销售单位关联表,medicine_db
doctor_advice_dsl,医嘱管理,medicine_db
medicine_type_dsl,药物类型,medicine_db
dosage_form_dsl,剂型管理,medicine_db
department_dsl,科室管理表（大参林主数据）,medicine_db
disease_system_dsl,疾病系统管理表,medicine_db
medicine_dsl_copy1,标准药品表-主表,medicine_db
diagnosis_description_detail_dsl,主诉管理,medicine_db
province_times,各省频次周期编码映射大参林主数据关系表,medicine_db
province_diagnosis_description,省份对应诊断表,medicine_db
times_dsl,频次周期管理表（大参林主数据）,medicine_db
province_department,各省医院科室代码映射大参林主数据关系表,medicine_db
psychotropic_drugs_dsl,一二类精神药品目录表,medicine_db
usage_dsl,大参林公司用法管理表,medicine_db
unit_dsl,单位管理,medicine_db
province_usage,各省用法代码映射大参林主数据关系表,medicine_db
log_log_doctor,医生日志,hospitalplus_pro
hospitalplus_monitor_platform,省监管 - 本地备份数据表(广东),hospitalplus_pro
hospitalplus_consultation_order,问诊订单,hospitalplus_pro
hospitalplus_consultation,问诊记录,hospitalplus_pro
rx_callback_fail_record,回调处方中台3.0失败日志记录,hospitalplus_pro
rxaudit_prescription,rxaudit - 处方单,rxaudit_pro
hospital_prescription,处方记录,hospitalplus_pro
hospital_patient,患者信息,hospitalplus_pro
